title,slug,abstract
Making Ansible playbooks to configure Single Sign On for popular open source applications,fosdem-2024-1665-making-ansible-playbooks-to-configure-single-sign-on-for-popular-open-source-applications,"<p>TL;DR: I spend 11 month developing a set of playbooks to configure SSO for several open source application and a Keycloak identity server. In my talk I present the process and some gotchas.</p>
<p>To help sysadmins everywhere the Dutch Onestein organization (specialized in Odoo implementations) invested 11 month of research to create a set of easy to use Ansible playbooks to configure single sign on (SSO) for popular open source applications to enable them to authenticate to a Keycloak server as the central identity provider.</p>
<p>These playbooks have been published on https://github.com/onesteinbv/project_single_sign_on.</p>
<p>The list of supported applications are currently:</p>
<p>Bitwarden
CMDBuild
Jenkins
Gitlab
Keycloak (not SSO, but the identity provider)
Nextcloud,
Odoo
Xwiki
Zabbix.</p>
<p>All playbooks and servers are for Ubuntu servers and are meant to be used as a starting point.
TL;DR: I spend 11 month developing a set of playbooks to configure SSO for several open source application and a Keycloak identity server. In my talk I present the process and some gotchas.</p>
<p>To help sysadmins everywhere the Dutch Onestein organization (specialized in Odoo implementations) invested 11 month of research to create a set of easy to use Ansible playbooks to configure single sign on (SSO) for popular open source applications to enable them to authenticate to a Keycloak server as the central identity provider.</p>
<p>These playbooks have been published on https://github.com/onesteinbv/project_single_sign_on.</p>
<p>The list of supported applications are currently:</p>
<p>Bitwarden
CMDBuild
Jenkins
Gitlab
Keycloak (not SSO, but the identity provider)
Nextcloud,
Odoo
Xwiki
Zabbix.</p>
<p>All playbooks and servers are for Ubuntu servers and are meant to be used as a starting point.</p>"
Fixing a Kerberos vulnerability with the bare necessities,fosdem-2024-2681-fixing-a-kerberos-vulnerability-with-the-bare-necessities,"<p>Fixing vulnerabilities on long term support distributions can be a challenging task. Constraints such as protocol compatibility or ABI stability often get in the way of backporting security fixes. When a fix simply is incompatible with an older OS version, designing a new one taking advantage of the limited processes and data available might be required. I will illustrate this with the case of a Kerberos vulnerability affecting FreeIPA that couldn't be fixed the expected way on CentOS 8 Stream and RHEL 8.</p>"
Passwordless authentication in the GUI,fosdem-2024-2169-passwordless-authentication-in-the-gui,"<p>Passwordless authentication is becoming a trend and its usage will increase in the near future. Little by little we are seeing these authentication methods being added to the operating system (i.e. <a href=""https://sssd.io/design-pages/passkey_authentication.html"">Passkey/FIDO2</a>, <a href=""https://freeipa.readthedocs.io/en/latest/designs/external-idp/external-idp.html"">External Identity Provider</a>, etc.). However, its integration with the graphics stack leaves much to be desired.</p>
<p>In the last months <a href=""https://sssd.io/"">SSSD</a> and <a href=""https://www.gnome.org/"">GNOME</a> teams have been working on improving this integration and providing a unified and consistent user experience for passwordless authentication mechanisms.</p>
<p>This talk will present the current state, the problems that we have detected and the proposals for improvement. In addition, where possible, demonstrations of authentication mechanisms whose work is at an advanced stage of implementation will be provided.</p>"
Automated Integration of FreeIPA with AD and External IdP,fosdem-2024-2453-automated-integration-of-freeipa-with-ad-and-external-idp,"<p>The ansible-freeipa project provides an Ansible Collection with roles and modules for FreeIPA deployment and management.
The talk will show how to automate FreeIPA deployment and configuration to integrate with Microsoft Active Directory and also how to configure and use External Identity Providers, using the ansible-freeipa project.
Recent versions of ansible-freeipa allow id overrides for AD users, for example enabling an AD administrator to act as a FreeIPA administrator, performing tasks like enroll new clients, deploy or promote replicas, and manage users, also to use the self-service features.
External IdP support has been recently added to FreeIPA. The registration with an integrated IdP enables FreeIPA to act as an OAuth 2.0 client to handle authentication of the user identity and authorize access to it. This integration and the required changes to users can be automated using ansible-freeipa.
The talk will be closed by a demonstration of the configuration and integration of AD and External IdP.</p>"
Connecting IBM AIX to Red Hat Identity Manager (FreeIPA),fosdem-2024-2102-connecting-ibm-aix-to-red-hat-identity-manager-freeipa-,"<p>IBM AIX is the last ""hardcore"" UNIX system running on IBM's own IBM Power systems. RH Identity Manager is modern identity and access management solution based on FreeIPA. AIX can't speak natively to RH IdM. But can they work together at all? What type of problems does happen during the deployment? What can be solved and what can wait till next feature?</p>"
Empowering FreeIPA: a dive into the modern WebUI,fosdem-2024-2456-empowering-freeipa-a-dive-into-the-modern-webui,"<p>The FreeIPA is considered one of the most popular Open Source integrated Identity and Authentication manager solution. As a tool that has been in the Linux ecosystem for many years, its graphic environment and its functionality to effectively manage the IPA operations through the WebUI have suffered the ravages of age… until now. </p>
<p>Join us for a comprehensive overview of the modernized WebUI and its development process. We will speak about, not only the motivations behind this modernization, but also explore the new implementation approach using React + PatternFly5 + Cypress, the design principles, and its enhanced features. Because a change of look has never had so much to talk about!</p>"
POSIX identities out of OAuth2 identity providers: how to redesign SSSD and Samba?,fosdem-2024-2587-posix-identities-out-of-oauth2-identity-providers-how-to-redesign-sssd-and-samba-,"<p>With a move to cloud-based hosting of the application servers, a typical application is not a member of the same corporate IT environment anymore. Application servers often use OAuth 2.0 protocol flows to identify their users. Identity Providers (IdPs) provide OAuth 2.0 endpoints to applications and pull
over the tasks of authenticating and authorizing users’ access to application resources. They become a central point of interaction between enterprise domains, if those still in use in the organization, and applications. This approach allows to integrate both in-house applications and cloud-based SaaS
applications provided by third parties.</p>
<p>The separation of enterprise IT architecture and an enterprise domain structure, however, leads to a larger issue. While in the past management of the application servers was part of the enterprise domain services (Active Directory, RHEL IdM, …) where regular users and application developers were
present at the same time. Maintaining common access to these servers was easy: since the application server is enrolled into the domain, it can consume domain identities. Not anymore: there is no such guarantee to have both application servers and application developers belonging to the same domain. Effectively, there is a need to access information that is only available in a federated way: through some broker, like IdP. On top of that, the broker might not be able to pass through a certain type of information that might simply not exist on the other side. For example, for Linux servers working together as a compute capacity, it is crucial to have a uniform view on POSIX information about users and groups. But an IdP might simply lack this information because there might be no need for it at the place where a user account is defined.</p>
<p>This talk aims to define a common set of requirements and approaches to represent a secure POSIX identity management integration with OAuth 2.0-based identity providers. Aside from requirements towards client software on the Linux platform, we aim to define possible requirements towards other components of the integration, based on our experience developing Samba, SSSD, and FreeIPA for more than 25 years.</p>"
Welcome to the GCC dev room,fosdem-2024-3588-welcome-to-the-gcc-dev-room,<p>Welcome to the GCC dev room from the organizers</p>
GCC for new contributors,fosdem-2024-2569-gcc-for-new-contributors,"<p>This talk will be a fast-paced overview of GCC's internals, aimed at plugin authors and at people wanting to get involved in GCC.</p>
<p>I'll give a tour of the various parts of GCC, showing what each stage of the compiler does to your source code, places that warnings can be added, and show ways of debugging the compiler.</p>"
How to bring up GCC for your new chip,fosdem-2024-2713-how-to-bring-up-gcc-for-your-new-chip,"<p>You have designed your new processor. But to be any use it needs a compiler.  In this talk I will give a guide to the GCC machine description, and how you create a new one to support your processor.</p>
<p>This talk is created from a much larger training course for professional compiler engineers. It will give you sufficient information and understanding that you should be able to then create a new back-end for GCC to work with your processor.</p>"
Documenting My Journey: Contributing to GCC as a GSoC 2023 Participant,fosdem-2024-2216-documenting-my-journey-contributing-to-gcc-as-a-gsoc-2023-participant,"<h2>Bypass assembler when generating LTO object file</h2>
<p>This summer, I worked with my mentor Jan Hubicka and Martin Jambor on a project to bypass assembler when generating LTO object files. Here is a brief insight into my project:
Link Time Optimization (LTO) enables GCC to dump its internal representation (GIMPLE) to disk so that a single executable can be optimized as a single module. The current implementation creates an assembly file, and the assembler creates the final LTO object file from the provided binary contents. This project aims to create Link-time-optimization (LTO) object files directly from the compiler to improve compile time performance significantly by bypassing the assembler. The GCC's LTO infrastructure has matured enough to compile large real-world applications. Thus, this project will significantly reduce their compile time once completed.
- More detail: https://github.com/rsh-raj/gcc-gsoc-submission/tree/main</p>
<p>In this presentation, I will discuss the current state of my project and future direction. Additionally, I will delve into my journey, discussing the challenges I encountered as a beginner working with GCC (GNU Compiler Collection) and how I overcame them with the community's help.</p>"
Unicode Support for GCC Rust,fosdem-2024-2370-unicode-support-for-gcc-rust,"<p>The Rust programming language supports Unicode similarly to other modern languages. To handle Unicode characters efficiently and in a user-friendly way, Rust uses various techniques in parser and mangler.</p>
<p>I worked on Unicode support for GCC Rust last summer during Google Summer of Code 2023. At present, GCC Rust adequately handles Unicode characters, although there are still a few tasks left to be completed.
In this talk, I will share my knowledge about Unicode and how modern compilers handle it.</p>
<p>Resources
- GCC Rust: https://github.com/Rust-GCC/gccrs
- My Google Summer of Code project: https://hackmd.io/@tamaron/ryqNQUvj2</p>"
What can Compiler-Explorer do for GCC,fosdem-2024-2759-what-can-compiler-explorer-do-for-gcc,"<p>Compiler-Explorer is a website which main usage consists in entering a program
in a text field and getting the corresponding assembly output, for a given set
of user selected compilers. Compiler-Explorer has more than 2000 compilers installed and executes 4M compilations/week. Yet Compiler-Explorer can do much more than simply displaying the assembly: sharing a compilation, using libraries, executing the program, using various tools (on source code or on resulting binaries), visualizing the CFG, accessing its services through an API, etc.</p>
<p>For a compiler user, the website is useful to test how a given language construct is compiled, to optimize for size and/or performance, etc. For a compiler developer, the website can be used to share bug reproducer, test if a bug applies to other versions of the compiler, inspect IR dumps, use scripts to automate some tasks, etc.</p>
<p>I'm proposing a short presentation focused on how Compiler-Explorer can be used around GCC: compare the results of different compilations, inspect the Tree/RTL dumps, check the result for other compiler versions/arguments, etc. I'm also interested in getting some feedback and/or ideas for new features.</p>"
Unlocking Secret Analysis in GCC Static Analyzer,fosdem-2024-2635-unlocking-secret-analysis-in-gcc-static-analyzer,"<p>GCC Static Analyzer (SA) is a highly promising tool aiming to enhance the compiler with extensive analysis capabilities, such as through the use of a plugin API.
We used it to implement an analysis targeting <a href=""https://en.wikipedia.org/wiki/Timing_attack#Avoidance"">constant-time vulnerabilities</a>.
Most of the existing tools rely on formal methods and remain barely used (see <a href=""https://www.researchgate.net/profile/Marcel-Fourne/publication/361209537_They're_not_that_hard_to_mitigate_What_Cryptographic_Library_Developers_Think_About_Timing_Attacks/links/62a32677416ec50bdb1af307/Theyre-not-that-hard-to-mitigate-What-Cryptographic-Library-Developers-Think-About-Timing-Attacks.pdf"">Jancar et al.</a>).
This study conclude that compiler-based tools are well-received among cryptographic developers.</p>
<p>Our initial tests highlighted that the primary design of the analyzer's inner state machines heavily relies on pointer-related analysis, which leverages alias analysis.
However, it was triggering undesirable side effects in our case.
The needs for our analysis is to also be able to track state for lvalue, alongside rvalue, depending of the target's type.</p>
<p>The subject of this talk is to introduce a practical case where this behavior would allow such analysis to be done, especially since the SA codebase is already heavily prepared for it.
A proof-of-concept to give this ability to the SA has been implemented and aims to be merged after feedback from the community on the idea.
Problems caused by some aspects of C semantics arise and will be interesting to discuss (e.g., the thin frontier between arrays and pointers).</p>
<p>Source code of the project is publicly available here: <a href=""https://gitlab.inria.fr/pphilipp/gcc-plugin-ct"">https://gitlab.inria.fr/pphilipp/gcc-plugin-ct</a>.</p>
<p>Prior knowledge for attending: GCC internals and GCC SA basic knowledge, C semantics.</p>"
Yacking about Bison,fosdem-2024-2350-yacking-about-bison,"<p>Lessons and scars from slaying the COBOL dragon with Bison, or How I learned to live with Dangling Else.</p>
<p>COBOL grammar is a master class in parsing challenges.  This is a rubber-meets-the-road talk about real-world parsing problems solved with real-world tools.</p>"
Can the mold linker be /usr/bin/ld?,fosdem-2024-2606-can-the-mold-linker-be-usr-bin-ld-,"<p><a href=""https://github.com/rui314/mold"">mold</a> is an open-source, fast, and portable linker for ELF. I'm the creator of the mold linker as well as the LLVM lld linker. It looks like mold is rapidly gaining importance among the GNU toolchain users because it's the only modern linker that supports all GCC features. In contrast, GNU ld is too slow for large projects, GNU gold lacks adequate maintenance, and LLVM lld does not support GCC LTO.</p>
<p>If mold is better than GNU ld, why can't we use it as /usr/bin/ld? In most instance, we actually can, except one major use case: kernel/embedded programming.</p>
<p>In this talk, I'll discuss the current status of the project, how we achieved the speed and while porting it to 15+ targets in just a few years, and our plans for supporting kernel/embedded programming.</p>"
Build Distribution for Maintaining the Famous GCC 4.7,fosdem-2024-2690-build-distribution-for-maintaining-the-famous-gcc-4-7,"<p>Many GNU Linux distributions start their own bootstrap process with a set of binary seeds. Because, how do you build a modern C/C++ compiler without a C/C++ compiler? To solve this chicken-and-egg problem, an approach taken by some distributions is to rely on opaque, pre-build binaries. However, in order to increase trustworthiness in software, we should be able to produce every part of it from source, or at least reduce the size of the initial binary seed to the absolute minimum.</p>
<p>In the bootstrappable builds movement, the GCC version 4.7 plays an important role: it is the last GCC version that can be built with only a C compiler. Therefore, this compiler is a stepping stone for bootstrapping everything that relies on the C++ language and above. Another important metric for trustworthiness is the capability to build reproducibly, independently of the build directory, which we addressed with patches, as it is not a native feature of this compiler version. Furthermore, additional patches were required for bringing this compiler version up to date, i.e., adding support for more recent C libraries (e.g., the musl libc) and for obtaining a compiler installation that works independently of its install prefix.</p>
<p>We would like to present a build description (for the <em>JustBuild</em> build system), used to patch and bootstrap a GCC version 4.7 on a minimal x86_64 Linux system, which only needs a POSIX shell, coreutils, and a C library (GNU, musl) installed. To achieve this, the bootstrap process starts by building Busybox, GNU Make, and Binutils from scratch before those are used to bootstrap GCC 4.7. We can furthermore show how that compiler can then be used to bootstrap additional build tools (Make, CMake, Python) and even the most recent compilers (GCC 13.2, Clang 17), all from source on the exact same minimal system. In doing so, we basically bootstrap an extremely minimalistic Linux distribution for building compiler toolchains. All of that is strictly defined within a single <em>JustBuild</em> project, which is publicly available under an open-source license at: https://github.com/just-buildsystem/bootstrappable-toolchain.</p>"
Sega Dreamcast Homebrew with GCC,fosdem-2024-2634-sega-dreamcast-homebrew-with-gcc,"<p>One of the greatest strengths of GCC is the sheer volume of architectures which it can target, many of which are niche or legacy platforms. But how has this support translated into real-world utility? How well are some of these platforms still supported? Using the Sega Dreamcast and its SH4 CPU as a case-study, we take a look at just how far GCC is allowing its homebrew community to take the platform, providing modern C23, C++23, Objective-C, D, and even some Rust to the 1990s game console.</p>"
Welcome to the LLVM dev room,fosdem-2024-3582-welcome-to-the-llvm-dev-room,<p>A word of welcome by the LLVM Dev room organizers.</p>
Patch based test coverage for quick test feedback,fosdem-2024-2371-patch-based-test-coverage-for-quick-test-feedback,"<p>Most of the day to day tests in LLVM are regression tests executed by Lit, structured as source code or IR to be passed to some binary, rather than test code directly calling the code to be tested. This has many advantages but can make it difficult to predict which code path is executed when the compiler is invoked with a certain test input, especially for edge cases where error handling is involved. The goal of this work was to help developers create good test coverage for their patch and enable reviewers to verify that they have done so. To accomplish this we have introduced a tool that can be fed a patch as input, add coverage instrumentation for the affected source files, runs Lit tests, and records which test cases cause each counter to be executed. For each counter we then report the test cases executing the counter, but perhaps more importantly we also report the test cases executing the counter that are also changed in some way by the patch, since a modified line that results in zero counter isn’t properly tested, unless it’s intended to be a non-functional change.</p>
<p>In this presentation, we will understand what are the technologies involved, the shortcomings to implement the solution, the idea of implementation, and the final demo result by using a llvm-project patch.</p>"
"The LLVM Security Group: History, progress, remaining challenges.",fosdem-2024-2609-the-llvm-security-group-history-progress-remaining-challenges-,"<p>The <a href=""https://llvm.org/docs/Security.html"">LLVM Security group</a> was established
in 2019. It's main goal is to enable users and contributors of LLVM to disclose
security-related issues responsibly. The group is relatively young and continues
to evolve and optimize its processes. In the first part of this presentation,
I'll describe how the group was established, and what it has achieved so far.
I'll briefly summarize the kinds of reports we've received.</p>
<p>The second part of the presentation will cover remaining challenges faced by the
group and the LLVM project related to the handling of security issues. These
include ""how to communicate security issues to everyone who should know"",
""defining a threat model/what is a security issue"", better making use of
github's security-supporting features, and improving implementation details on
how to report issues.</p>"
Build your first Clang compilation database plugin,fosdem-2024-2706-build-your-first-clang-compilation-database-plugin,"<p>The compilation database aids tools such as <code>clangd</code> in selecting the correct compiler flags for source files. It is commonly located found as <code>compilation_database.json</code> in the build directory. With tools like <a href=""https://github.com/Sarcasm/compdb"">compdb</a>, you can modify the file according to your needs. <code>clangd</code> itself provides a flexible configuration file. But what if you require more flexibility or have specific needs for your code base?</p>
<p>In this introductory presentation I give a brief overview of how Clang utilizes the compilation database and discuss the reasons and methods for extending it. Clang's <code>CompilationDatabasePlugin</code> allows extending and modifying compilation commands directly in your tooling at runtime. I show an example plugin that uses custom heuristics to find compiler flags for unknown files, e.g. for header files.</p>
<p>Plugins can interface with other Clang and LLVM components and writing one is a great way to get started writing Clang-based tooling.</p>"
elfconv: AOT compiler that translates Linux/AArch64 ELF binary to LLVM bitcode targeting WebAssembly,fosdem-2024-2254-elfconv-aot-compiler-that-translates-linux-aarch64-elf-binary-to-llvm-bitcode-targeting-webassembly,"<p>WebAssembly (WASM) enables us to use sandbox environments on edge devices and servers as well as browsers so that we can distribute platform-independent and secure applications. Previously, we could compile from several programming languages to WASM binary, but cannot generate them if we cannot use original source codes.
  In this talk, Masashi will introduce ""elfconv"",  an AOT compiler that translates Linux/AArch64 ELF binary into LLVM bitcode targeting WASM. This compiler generates an LLVM bitcode that translates every instruction of the original ELF binary based on remill (library for lifting machine code to LLVM IR) and uses emscripten to generate the WASM binary. we can execute the generated WASM binary using Wasm Runtime (e.g. Wasmedge, Wasmtime). This talk will describe the technical details (methods to translate to LLVM bitcode and emulate Linux syscall targeting WASM) of elfconv and the performance of translating and future perspectives.
Repository URL : https://github.com/yomaytk/elfconv</p>"
Map LLVM values to corresponding source-level expressions,fosdem-2024-1682-map-llvm-values-to-corresponding-source-level-expressions,"<p>An interface which takes an LLVM value at any point in the LLVM transformations pipeline and returns a string corresponding to the equivalent source-level expression. We are especially interested in using this interface to map addresses used in load/store instructions to equivalent source-level memory references.
The primary objective of this project is to enhance the effectiveness of compiler-generated remarks and analysis reports for code optimization. These messages, while often comprehensive, lack direct connections to the corresponding source-level expressions. The goal is to bridge this gap by utilizing LLVM's intrinsic functions, which establish mappings between LLVM program entities and source-level expressions. The project specifically focuses on utilizing these intrinsic functions to generate or derive source expressions from LLVM values. This functionality is particularly important for enhancing memory access optimizations, including the reporting of memory access dependences that hinder vectorization.</p>"
Welcome to the SBOM devroom,fosdem-2024-3568-welcome-to-the-sbom-devroom,<p>Introduction to the topics and the structure of the devroom.</p>
Overview of SPDX tooling and how SPDX3 gets adopted,fosdem-2024-3096-overview-of-spdx-tooling-and-how-spdx3-gets-adopted,"<p>This presentation will give an overview over recent developments in tooling. It will showcase especially Python and the new TypeScript library, but will also mention Java and other supported ecosystems. It will also show how the native support for SPDX generation and integration gets adopted.</p>
<p>This all plays towards support for SPDX3, where use of maintained libraries will ease the migration towards supporting it. The presentation will also cover the current state of support for SPDX3 via tooling.</p>"
FOSS for FOSS: DejaCode is your new FOSS control center for SBOMs,fosdem-2024-3276-foss-for-foss-dejacode-is-your-new-foss-control-center-for-sboms,"<p>Open source code is the main concern for SBOMs. So, why are so many of the available solutions proprietary software or proprietary data? </p>
<p>Use DejaCode instead! DejaCode is a new open source tool to manage all your SBOMs in one place and ensure software supply chain integrity:
- Export, import, merge, and combine SBOMs, with detailed attribution documentation and custom reports in multiple file formats and standards, like SPDX.
- Apply usage policies and curated catalogs to enforce the consistent use of open source packages across teams and projects for licenses, provenance, and vulnerabilities.
- Run reports and analytics with a consistent view of packages, licenses, and security risks across products.</p>
<p>In this talk, Philippe will discuss how DejaCode enables low-effort, low-friction open source compliance automation across teams with different mandates - all while using open source software.</p>"
Panel discussion: Software Naming,fosdem-2024-3622-panel-discussion-software-naming,"<p>The naming of software packages is a difficult matter. In the world of SBOMs (and related tooling), package identifiers are an integral part. OmniBOR, Package-URL (PURL), SWHID, as well as CPE, SWID and others are all identifiers for packages.</p>
<p>The panelists will discuss the pros and cons of the different package identification schemes and how to decide when to use which one.</p>
<p>The discussion will be moderated by Kate Stewart.</p>"
SBOM: What's next?,fosdem-2024-2939-sbom-what-s-next-,"<p>The Software Bill of Materials (SBOM) has frequently been cited as a crucial component in securing the software supply chain. Its value proposition is the ability to answer critical questions such as, ""Am I vulnerable to CVE-XYZ?"". In theory, SBOM should simplify risk assessment by prioritizing the remediation of vulnerable applications. However, when considering the software supply chain as a whole and the myriad potential threat vectors (https://slsa.dev/spec/v1.0/threats), it's clear that SBOM provides limited utility when securing software delivery from producer to consumer.</p>
<p>How is an SBOM produced? How is it delivered? Does it bundle the artifacts it describes? Can you verify the provenance of the SBOM? These questions lead us to ask whether the SBOM has any real utility as a standalone entity.</p>
<p>In this session, we shall introduce the Open Component Model (OCM, https://ocm.software), an open standard and tooling that supports establishing a secure software supply chain, from producer to consumer. OCM's dedicated tooling packages security and compliance-relevant metadata, such as SBOMs, alongside the software artifacts. It includes support for signing operations, as well as secure transport of artifacts ensuring their integrity and provenance. Our session is ideal for those who find these questions intriguing and are eager to explore possible answers!</p>"
Protobom: The Universal I/O Layer of SBOM,fosdem-2024-3180-protobom-the-universal-i-o-layer-of-sbom,"<p>In 2022 the Department of Homeland Security, an agency of the US government, announced the formation of an SBOM task force, formed by seven startup companies with a mission to create basic building blocks for the software bill of materials ecosystem.</p>
<p>Out of this effort, the protobom project was born. </p>
<p>Protobom is a project that offers a universal, format-neutral SBOM I/O layer designed to work with SBOM data in a unified way. The project frees developers from caring about the nuisance of ingesting and writing SBOMs. Through a single interface, applications can handle any SBOM format when reading, writing and transforming the data. Protobom is defined in protocol buffers which makes it ideal for storing and transmitting SBOM data. It also means that the project is multilanguage.</p>
<p>On top of the I/O layer, protobom has a rich graph API helping developers query, remix, diff and filter information read from SBOMs. The project is young, but it is already at the core of various supply chain security projects under the OpenSSF umbrella, including SBOMit and OpenVEX.</p>
<p>Join us and explore how protobom abstracts and puts SBOMs at your fingertips!</p>"
Know Your Ingredients: Security Starts With the SBOM,fosdem-2024-2920-know-your-ingredients-security-starts-with-the-sbom,"<p>One of the most neglected parts of application security is the ingredients that go into developing software. Over 80 percent of code used in enterprise applications comes from open-source dependencies, but how much attention goes towards the software bill of materials that tells you the provenance and security of those packages?</p>
<p>This is analogous to a restaurant where you invest in modern decor, professional chefs, and world-class service. But if you don’t get fresh, quality ingredients delivered daily, the taste and hygiene of the food will suffer and the restaurant won’t be successful. Securing the software supply chain is a huge undertaking for the entire tech industry, and we will talk about some of the ongoing efforts by open-source projects, foundations, and corporations to help us all know the SBOM of our ingredients.</p>"
Make your software products trustable,fosdem-2024-3073-make-your-software-products-trustable,"<p>As organizations start their software supply chain security (SSCS) journey, more and more documents (like SBOMs and VEXs) are being created. But having these documents produced will get us just a half-way through. We need ways to store, index, search and analyze potentially large numbers of SSCS documents to become aware of our vulnerabilities and be able to react to them quickly. 
Meet trustification (https://trustification.io), an open source project that allows us to store and analyze our security data at scale. Trustification allows users to manage their portfolio of applications, containers and products throughout their lifecycle. Providing transparency of their technical make up and dependencies as well as highlighting their vulnerabilities..
In this session, we will describe the Trustification project in detail. We'll start by covering basic requirements for this kind of system. Having a S3 compatible storage, flexible vulnerability collectors, support for powerful query language and ability to find the relationship between different components is the key. We'll go through the architecture and all the services needed to achieve these goals. We'll end up with a brief demo of the working system. After the session you should be able to start using Trustification to make your software products more trusted.</p>"
Can SBOMs become first-class citizens in Open Source ecosystems?,fosdem-2024-3358-can-sboms-become-first-class-citizens-in-open-source-ecosystems-,"<p>European laws have come a-knocking to Open Source ""supply chains"".</p>
<p>From now on, volunteers are expected to step up and make new metadata available across projects and communities, and open the doors for populating new SBOM objects so we can track all kinds of parameters along these ""chains,"" across ecosystem boundaries, and well into the back-rooms of businesses.</p>
<p>The goals are good. The problem space seems daunting. How does one even start to approach this mountain of madness?</p>
<p>In this talk, Salve J. Nilsen will summarize the <a href=""https://metacpan.org/"">CPAN</a> perspective – The Comprehensive Perl Archive Network has been around since 1995, and with much history embedded in its bones, has over the decades shown it is a dependable partner for developers. But with the establishing of the <a href=""https://security.metacpan.org/"">CPAN Security Working Group</a>, changes are looming. Let's share some thoughts and ideas, and explore the problem space together!</p>"
How to make SPDX industry standard for AI/ML,fosdem-2024-3169-how-to-make-spdx-industry-standard-for-ai-ml,"<p>With SBOMs being required and SPDX meeting ISO/IEC 5962:202. It is beneficial for developers to adopt SPDX to generate the SBOM for their software. However, with AL and ML taking more and more centre stage in modern applications, how can we make sure SPDX can be useful to AI/ML applications?</p>
<h2>Background</h2>
<p>Recently since the bill from the US government has made SBOM the standard in software distributions, all developers have started to think about how they can automate and generate SBOM with all the components stated as required. SPDX is one of the obvious choices for all as its specification is recognized as the international open standard for security.</p>
<p>The stable release of SPDX 2.3 is good enough for most applications. Looking forward, as modern software applications are getting more and more complicated and there are more and more components involved - with the popularity of big data and AI/ML, many applications will involve data and data pipelines. These would need to be considered when generating SBOM in the future. </p>
<p>In this talk, we will look into what has SPDX 2.3 achieved, what is added in SPDX 3.0 for data and AI, and how we can encourage the AI/Ml community to consider SPDX in their applications.</p>
<h2>Goal</h2>
<p>Bring awareness of SBOM and SPDX to the developers and data community. Suggest some strategies in getting more adoption, especially the adoption of SPDX 3.0 to AI/ML communities.</p>
<h2>Target Audiences</h2>
<p>Developers and engineers who work with data. Community leaders who are interested in encouraging the community to build safer software.</p>
<h2>Outline</h2>
<ul>
<li>Introduction of SBOM and SPDX</li>
<li>What SPDX 2.3 has achieved and why it is a good tool</li>
<li>What is new in SPDX 3.0 and why they are needed</li>
<li>How to get the AI/ML and data community to adopt SPDX 3.0</li>
<li>Conclusion and Q&amp;A</li>
</ul>"
Application of the SPDX Safety Profile in the Safety Scope of the Zephyr Project,fosdem-2024-3211-application-of-the-spdx-safety-profile-in-the-safety-scope-of-the-zephyr-project,"<p>Creating and maintaining a safety critical project comes with a lot of challenges. One central issue is keeping your documentation, starting from planning and guideline documents, down to requirements, safety analysis, reviews and tests, consistent and up to date. These project artefacts often have their own lifecycle and are natively managed in different tools, with usually great traceability capabilities regarding dependencies between these artefacts as long as you stay within one tool or within a (usually propriety) tool family of one single tool vendor. Currently the resulting traceability gaps between these tools are handled either by the popular engineering tools like MS Excel or methods like “search for identical names”, depending highly on manual maintenance. 
Using SPDX relationships, the upcoming Safety Profile in SPDX 3.1 will provide a model to represent all these dependencies as a knowledge model that can be used both to analyse possible impacts after a change (be it because of a security update or functional variants of your product), provide evidence of completeness and compliance as a Safety SBOM or simply keep track of your product variants.
In this talk we will provide both an introduction to the SPDX Safety Profile as well as a real life example using StrictDoc and the Zephyr Project’s Functional Safety scope.</p>"
"SBOMs that you can trust - the good, the bad, and the ugly",fosdem-2024-2889-sboms-that-you-can-trust-the-good-the-bad-and-the-ugly,"<p>You might be on the journey of adopting Software Bill of Materials (SBOMs) in your organization. What if I tell you that your SBOMs might be useless and even harmful?</p>
<p>During this talk, we'll discuss the overlooked aspect of ensuring the trustworthiness of the SBOM during its lifecycle, from generation to storage, distribution, and processing.</p>
<p>We'll shed some light on the questions you should ask about your SBOMs, who, and how you can achieve trust at each step of their lifecycle. </p>
<p>We'll dip our toes into the why now, and how we can leverage OpenSource tools and specifications like in-toto attestations, Content Addressable Store, Supply-chain Levels for Software Artifacts (""salsa""), or Sigstore to have SBOMs that are uniquely identifiable, unforgeable, complete, and available.</p>
<p>After this talk, you'll know how to implement SBOM end-to-end (or other metadata such as VEX, vuln scan, etc.) that meets the highest levels of trust required in the Software Supply Chains of the future.</p>
<p>For reference, we'll touch on the following Open Source projects during this talk.</p>
<ul>
<li>https://github.com/slsa-framework/slsa</li>
<li>https://github.com/sigstore/cosign</li>
<li>https://github.com/opencontainers/distribution-spec</li>
<li>https://github.com/chainloop-dev/chainloop</li>
</ul>"
12 months of SBOMs - an experience report,fosdem-2024-1896-12-months-of-sboms-an-experience-report,<p>The CVE Binary Tool (https://github.com/intel/cve-bin-tool) is a Python tool which helps you determine if your system includes known vulnerabilities. It takes a variety of inputs including binaries and SBOMs (both SPDX and CycloneDX are supported). Our build process has been generating a SBOM (a build/deploy version using SBOM4Python (https://github.com/anthonyharrison/sbom4python)) every week and storing it within the GitHub repo. A detailed  analysis of the generated SBOMs over the past 12 months has identified a number of interesting observations which were not immediately apparent before SBOMs were being generated. It addresses some key questions such as “How much  does an SBOM change and how often?“ and “ Does your SBOM depend on your environment?“. This presentation shares these observations and provides a number of recommendations to be followed when generating SBOMs as part of the build process.</p>
